frame,dt,speedKmh,throttleRaw,throttleSmoothed,vehicleSpeedFeedbackKmh,engineRpmFeedback,currentGear,targetGear,requestsShift,lastShiftDirection,timeSinceLastShiftS,kickdownActive,throttleDeltaHistory,engineRpm,upshiftSpeed,downshiftSpeed,twinState,clutchPressure
164,0.016000,24.891,1.0000,1.0000,24.891,1297.8,1,1,0,0,2.6240,1,0.0000,3063.8,70.000,0.000,3,1.0000
165,0.016000,25.012,1.0000,1.0000,25.012,1300.2,1,1,0,0,2.6400,1,0.0000,3078.7,70.000,0.000,3,1.0000
166,0.016000,25.133,1.0000,1.0000,25.133,1302.7,1,1,0,0,2.6560,1,0.0000,3093.6,70.000,0.000,3,1.0000
167,0.016000,25.255,1.0000,1.0000,25.255,1305.1,1,1,0,0,2.6720,1,0.0000,3108.6,70.000,0.000,3,1.0000
168,0.016000,25.376,1.0000,1.0000,25.376,1307.5,1,1,0,0,2.6880,1,0.0000,3123.5,70.000,0.000,3,1.0000
169,0.016000,25.497,1.0000,1.0000,25.497,1309.9,1,1,0,0,2.7040,1,0.0000,3138.4,70.000,0.000,3,1.0000
170,0.016000,25.618,1.0000,1.0000,25.618,1312.4,1,1,0,0,2.7200,1,0.0000,3153.4,70.000,0.000,3,1.0000
171,0.016000,25.740,1.0000,1.0000,25.740,1314.8,1,1,0,0,2.7360,1,0.0000,3168.3,70.000,0.000,3,1.0000
172,0.016000,25.861,1.0000,1.0000,25.861,1317.2,1,1,0,0,2.7520,1,0.0000,3183.2,70.000,0.000,3,1.0000
173,0.016000,25.982,1.0000,1.0000,25.982,1319.6,1,1,0,0,2.7680,1,0.0000,3198.1,70.000,0.000,3,1.0000
174,0.016000,26.103,1.0000,1.0000,26.103,1322.1,1,1,0,0,2.7840,1,0.0000,3213.0,70.000,0.000,3,1.0000
175,0.016000,26.225,1.0000,1.0000,26.225,1324.5,1,1,0,0,2.8000,1,0.0000,3228.0,70.000,0.000,3,1.0000
176,0.016000,26.346,1.0000,1.0000,26.346,1326.9,1,1,0,0,2.8160,1,0.0000,3242.9,70.000,0.000,3,1.0000
177,0.016000,26.467,1.0000,1.0000,26.467,1329.3,1,1,0,0,2.8320,1,0.0000,3257.8,70.000,0.000,3,1.0000
178,0.016000,26.588,1.0000,1.0000,26.588,1331.8,1,1,0,0,2.8480,1,0.0000,3272.7,70.000,0.000,3,1.0000
